id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,models+AF8-ensemble+AF8-count
openml.org/t/2140,BNG+AF8-lymph+AF8-,NaiveAutoML,test,2,multiclass,0.90103,acc,local,0.0.27,,2.1.4,2024+AC0-01+AC0-24T23:30:23,1816.9,1811.2,0.9,1,1616897615,,0.90103,0.827204,2.72281,
openml.org/t/2140,BNG+AF8-lymph+AF8-,NaiveAutoML,test,3,multiclass,0.90156,acc,local,0.0.27,,2.1.4,2024+AC0-01+AC0-25T00:00:41,1817.3,1811.6,0.9,1,1616897616,,0.90156,0.822318,2.72838,
openml.org/t/2140,BNG+AF8-lymph+AF8-,NaiveAutoML,test,4,multiclass,0.91932,acc,local,0.0.27,,2.1.4,2024+AC0-01+AC0-25T00:31:58,1877.3,1871.5,0.9,1,1616897617,,0.91932,0.836068,0.4963,
openml.org/t/2140,BNG+AF8-lymph+AF8-,NaiveAutoML,test,5,multiclass,0.90148,acc,local,0.0.27,,2.1.4,2024+AC0-01+AC0-25T01:02:17,1817.8,1811.3,0.9,1,1616897618,,0.90148,0.822771,2.73738,
openml.org/t/2140,BNG+AF8-lymph+AF8-,NaiveAutoML,test,6,multiclass,0.90221,acc,local,0.0.27,,2.1.4,2024+AC0-01+AC0-25T01:32:34,1817,1811.3,0.9,1,1616897619,,0.90221,0.823996,2.70728,
openml.org/t/2140,BNG+AF8-lymph+AF8-,NaiveAutoML,test,7,multiclass,0.90086,acc,local,0.0.27,,2.1.4,2024+AC0-01+AC0-25T02:02:53,1818,1811.6,0.9,1,1616897620,,0.90086,0.820594,2.77766,
openml.org/t/2140,BNG+AF8-lymph+AF8-,NaiveAutoML,test,8,multiclass,0.90301,acc,local,0.0.27,,2.1.4,2024+AC0-01+AC0-25T02:33:12,1818.6,1811.8,0.9,1,1616897621,,0.90301,0.818971,2.68507,
openml.org/t/2140,BNG+AF8-lymph+AF8-,NaiveAutoML,test,9,multiclass,0.90197,acc,local,0.0.27,,2.1.4,2024+AC0-01+AC0-25T03:03:29,1817.2,1811.3,0.9,1,1616897622,,0.90197,0.819202,2.71326,
openml.org/t/2140,BNG+AF8-lymph+AF8-,TPOT,test,0,multiclass,0.8731,acc,local,0.12.1,,2.1.4,2024+AC0-01+AC0-24T22:05:16,3061.5,3053.5,0.3,32,786421053,,0.8731,0.753615,0.720518,
openml.org/t/2140,BNG+AF8-lymph+AF8-,TPOT,test,1,multiclass,0.93241,acc,local,0.12.1,,2.1.4,2024+AC0-01+AC0-24T22:42:49,2253.3,2245,0.4,32,786421054,,0.93241,0.877937,0.177488,
openml.org/t/2140,BNG+AF8-lymph+AF8-,TPOT,test,2,multiclass,,acc,local,0.12.1,,2.1.4,2024+AC0-01+AC0-24T23:42:57,3606.6,,,,786421055,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-140601090060928+AF0- after 3600s timeout.,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,TPOT,test,3,multiclass,,acc,local,0.12.1,,2.1.4,2024+AC0-01+AC0-25T00:43:04,3606.8,,,,786421056,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-140219681051264+AF0- after 3600s timeout.,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,TPOT,test,4,multiclass,0.84722,acc,local,0.12.1,,2.1.4,2024+AC0-01+AC0-25T01:25:41,2557.1,2548.8,0.3,32,786421057,,0.84722,0.741691,0.378283,
openml.org/t/2140,BNG+AF8-lymph+AF8-,TPOT,test,5,multiclass,0.91525,acc,local,0.12.1,,2.1.4,2024+AC0-01+AC0-25T02:08:45,2583.7,2572.4,1.5,32,786421058,,0.91525,0.76852,0.286283,
openml.org/t/2140,BNG+AF8-lymph+AF8-,TPOT,test,6,multiclass,,acc,local,0.12.1,,2.1.4,2024+AC0-01+AC0-25T03:08:53,3606.6,,,,786421059,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-140126204359296+AF0- after 3600s timeout.,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,TPOT,test,7,multiclass,,acc,local,0.12.1,,2.1.4,2024+AC0-01+AC0-25T04:08:59,3606.5,,,,786421060,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-140348020380288+AF0- after 3600s timeout.,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,TPOT,test,8,multiclass,0.904,acc,local,0.12.1,,2.1.4,2024+AC0-01+AC0-25T04:48:37,2377.9,2370.2,0.08,32,786421061,,0.904,0.836802,0.248744,
openml.org/t/2140,BNG+AF8-lymph+AF8-,TPOT,test,9,multiclass,,acc,local,0.12.1,,2.1.4,2024+AC0-01+AC0-25T05:48:45,3606.5,,,,786421062,NoResultError: Interrupting thread MainThread +AFs-ident+AD0-139928440324736+AF0- after 3600s timeout.,,,,
