id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,models_ensemble_count,auc
openml.org/t/9969,thoracic-surgery,AutoGluon,test,2,binary,0.851064,acc,local,1.0.0,,2.1.4,2024-08-06T20:30:37,30.7,26.9,0.04,14,476602187,,0.851064,0.5,0.432462,2,0.571429
openml.org/t/9969,thoracic-surgery,AutoGluon,test,3,binary,0.829787,acc,local,1.0.0,,2.1.4,2024-08-06T20:31:07,29.7,25.8,0.04,14,476602188,,0.829787,0.4875,0.498734,2,0.439286
openml.org/t/9969,thoracic-surgery,AutoGluon,test,4,binary,0.829787,acc,local,1.0.0,,2.1.4,2024-08-06T20:31:36,28.9,25.1,0.03,14,476602189,,0.829787,0.4875,0.477369,2,0.539286
openml.org/t/9969,thoracic-surgery,AutoGluon,test,5,binary,0.851064,acc,local,1.0.0,,2.1.4,2024-08-06T20:32:14,37.4,33.5,0.03,14,476602190,,0.851064,0.558929,0.471868,2,0.532143
openml.org/t/9969,thoracic-surgery,AutoGluon,test,6,binary,0.829787,acc,local,1.0.0,,2.1.4,2024-08-06T20:32:44,30.2,26.2,0.02,14,476602191,,0.829787,0.4875,0.41113,2,0.521429
openml.org/t/9969,thoracic-surgery,AutoGluon,test,7,binary,0.765957,acc,local,1.0.0,,2.1.4,2024-08-06T20:33:14,29.4,25.5,0.04,14,476602192,,0.765957,0.45,0.59333,2,0.6
openml.org/t/9969,thoracic-surgery,AutoGluon,test,8,binary,0.851064,acc,local,1.0.0,,2.1.4,2024-08-06T20:33:45,30.6,26.8,0.03,14,476602193,,0.851064,0.5,0.444231,2,0.539286
openml.org/t/9969,thoracic-surgery,AutoGluon,test,9,binary,0.829787,acc,local,1.0.0,,2.1.4,2024-08-06T20:34:15,30.1,26.3,0.03,14,476602194,,0.829787,0.4875,0.456554,2,0.65
openml.org/t/3821,segment,AutoGluon,test,0,binary,0.995671,acc,local,1.0.0,,2.1.4,2024-08-06T20:35:07,51.7,47.6,0.3,14,476602185,,0.995671,0.984848,0.0215868,2,1
openml.org/t/3821,segment,AutoGluon,test,1,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:36:01,53.2,49.5,0.04,14,476602186,,1,1,0.00458443,2,1
openml.org/t/3821,segment,AutoGluon,test,2,binary,0.995671,acc,local,1.0.0,,2.1.4,2024-08-06T20:36:55,54,49.2,0.007,14,476602187,,0.995671,0.984848,0.0161217,2,1
openml.org/t/3821,segment,AutoGluon,test,3,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:37:54,59.1,55.3,0.03,14,476602188,,1,1,0.000451481,2,1
openml.org/t/3821,segment,AutoGluon,test,4,binary,0.995671,acc,local,1.0.0,,2.1.4,2024-08-06T20:38:47,52.4,48.6,0.01,14,476602189,,0.995671,0.984848,0.0165903,2,0.999847
openml.org/t/3821,segment,AutoGluon,test,5,binary,0.995671,acc,local,1.0.0,,2.1.4,2024-08-06T20:39:38,50.1,46.3,0.01,14,476602190,,0.995671,0.984848,0.0767868,2,1
openml.org/t/3821,segment,AutoGluon,test,6,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:40:31,53.4,49.6,0.04,14,476602191,,1,1,0.00138521,2,1
openml.org/t/3821,segment,AutoGluon,test,7,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:41:23,51,47.2,0.006,14,476602192,,1,1,0.00467957,2,1
