id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,3,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:03:15,18,15.4,0.01,14,1770482054,,0.90991,0.23802,0.665143,,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,4,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:03:32,16.4,13.7,0.08,14,1770482055,,0.90991,0.29802,0.592862,,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,5,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:03:49,17.1,14.5,6,14,1770482056,,0.90991,0.2,0.645872,,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,6,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:04:05,16.5,13.9,8,14,1770482057,,0.90991,0.23802,0.68487,,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,7,multiclass,0.900901,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:04:23,17.9,15.3,5,14,1770482058,,0.900901,0.19802,0.696672,,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,8,multiclass,0.873874,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:04:41,17.4,14.9,4,14,1770482059,,0.873874,0.192079,0.646056,,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,9,multiclass,0.918919,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:04:59,18.5,15.9,4,14,1770482060,,0.918919,0.24,0.641238,,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,0,multiclass,0.912698,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:05:22,16.3,13.4,0.2,14,1770482051,,0.912698,0.298261,0.84798,,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,1,multiclass,0.912698,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:05:39,17.2,14.6,5,14,1770482052,,0.912698,0.238261,0.654907,,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,2,multiclass,0.92,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:05:58,18.9,16.2,0.01,14,1770482053,,0.92,0.25,0.322665,,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,3,multiclass,0.928,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:06:17,18.3,15.1,0.2,14,1770482054,,928,0.3,0.517682,,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,4,multiclass,0.904,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:06:34,16.9,14.4,0.01,14,1770482055,,904,0.198246,0.693863,,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,5,multiclass,0.904,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:06:53,19.3,16.5,0.09,14,1770482056,,904,0.198246,0.668643,,
