id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,models+AF8-ensemble+AF8-count,auc
openml.org/t/3857,vehicle,AutoGluon,test,7,binary,0.988095,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:41:46,14.6,11.9,0.09,14,199602315,,0.988095,0.992063,0.102505,2,1
openml.org/t/3857,vehicle,AutoGluon,test,8,binary,0.952381,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:42:02,15.7,13,0.08,14,199602316,,0.952381,0.923754,0.142952,2,0.993035
openml.org/t/3857,vehicle,AutoGluon,test,9,binary,0.988095,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:42:18,15.5,12.9,0.01,14,199602317,,0.988095,0.977273,0.0306917,2,1
openml.org/t/9969,thoracic+AC0-surgery,AutoGluon,test,0,binary,0.851064,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:42:31,13.5,10.9,0.02,14,199602308,,0.851064,0.5,0.428617,2,0.510714
openml.org/t/9969,thoracic+AC0-surgery,AutoGluon,test,1,binary,0.829787,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:42:45,13.7,11.1,0.02,14,199602309,,0.829787,0.4875,0.493261,2,0.528571
openml.org/t/9969,thoracic+AC0-surgery,AutoGluon,test,2,binary,0.851064,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:42:58,12.5,10,0.01,14,199602310,,0.851064,0.5,0.432462,2,0.571429
openml.org/t/9969,thoracic+AC0-surgery,AutoGluon,test,3,binary,0.829787,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:43:11,12.4,9.9,0.01,14,199602311,,0.829787,0.4875,0.498734,2,0.439286
openml.org/t/9969,thoracic+AC0-surgery,AutoGluon,test,4,binary,0.829787,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:43:24,12.5,10,0.02,14,199602312,,0.829787,0.4875,0.477369,2,0.539286
openml.org/t/9969,thoracic+AC0-surgery,AutoGluon,test,5,binary,0.851064,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:43:36,12.5,10,0.02,14,199602313,,0.851064,0.558929,0.471868,2,0.532143
openml.org/t/9969,thoracic+AC0-surgery,AutoGluon,test,6,binary,0.829787,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:43:49,12.6,10.1,0.02,14,199602314,,0.829787,0.4875,0.41113,2,0.521429
openml.org/t/9969,thoracic+AC0-surgery,AutoGluon,test,7,binary,0.765957,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:44:03,13.2,10.5,0.01,14,199602315,,0.765957,0.45,0.59333,2,0.6
openml.org/t/9969,thoracic+AC0-surgery,AutoGluon,test,8,binary,0.851064,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:44:16,13.1,10.5,0.02,14,199602316,,0.851064,0.5,0.444231,2,0.539286
openml.org/t/9969,thoracic+AC0-surgery,AutoGluon,test,9,binary,0.829787,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:44:29,12.9,10.4,0.02,14,199602317,,0.829787,0.4875,0.456554,2,0.65
openml.org/t/3874,ecoli,AutoGluon,test,0,binary,0.941176,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:44:42,12.6,10.1,0.004,14,199602308,,0.941176,0.939286,0.366842,2,0.989286
