id+AF8-dataset,total time
+AFs-714+AF0-,0.015634536743164
+AFs-901+AF0-,0
+AFs-805+AF0-,0.015607118606567
+AFs-838+AF0-,0
+AFs-855+AF0-,0.013010501861572
+AFs-918+AF0-,0.015691757202149
+AFs-933+AF0-,0
+AFs-863+AF0-,0
+AFs-932+AF0-,0.015648126602173
+AFs-868+AF0-,0.015601634979248
+AFs-878+AF0-,0
+AFs-797+AF0-,0.015620708465576
+AFs-723+AF0-,0
+AFs-751+AF0-,0.015621900558472
+AFs-937+AF0-,0
+AFs-749+AF0-,0.015637874603272
+AFs-896+AF0-,0.006036996841431
+AFs-936+AF0-,0
+AFs-873+AF0-,0.01572585105896
+AFs-744+AF0-,0
+AFs-832+AF0-,0.01555609703064
+AFs-793+AF0-,0
+AFs-716+AF0-,0.015610218048096
+AFs-916+AF0-,0
+AFs-768+AF0-,0.015623807907105
+AFs-783+AF0-,0
+AFs-806+AF0-,0.015714168548584
+AFs-813+AF0-,0
+AFs-715+AF0-,0.015536546707153
+AFs-740+AF0-,0.006528615951538
+AFs-920+AF0-,0.015660762786865
+AFs-792+AF0-,0
+AFs-879+AF0-,0
+AFs-869+AF0-,0.015700340270996
+AFs-877+AF0-,0
+AFs-911+AF0-,0.015597105026245
+AFs-794+AF0-,0
+AFs-830+AF0-,0.015580654144287
+AFs-922+AF0-,0
+AFs-726+AF0-,0.015681028366089
+AFs-775+AF0-,0
+AFs-762+AF0-,0.015573263168335
+AFs-866+AF0-,0.006555080413818
+AFs-912+AF0-,0
+AFs-903+AF0-,0.015634298324585
+AFs-913+AF0-,0
+AFs-766+AF0-,0
+AFs-870+AF0-,0.015693426132202
+AFs-779+AF0-,0
+AFs-824+AF0-,0.015564203262329
+AFs-769+AF0-,0
+AFs-730+AF0-,0.015620946884155
+AFs-746+AF0-,0
+AFs-935+AF0-,0.015662431716919
+AFs-876+AF0-,0
+AFs-829+AF0-,0.015626192092896
+AFs-812+AF0-,0.006551504135132
+AFs-789+AF0-,0
+AFs-837+AF0-,0.018937110900879
+AFs-743+AF0-,0.000354290008545
+AFs-917+AF0-,0
+AFs-910+AF0-,0.015629053115845
+AFs-888+AF0-,0
+AFs-884+AF0-,0.015625715255737
+AFs-926+AF0-,0
+AFs-943+AF0-,0.015688419342041
+AFs-732+AF0-,0.015564203262329
+AFs-776+AF0-,0
+AFs-773+AF0-,0.01722526550293
+AFs-763+AF0-,0
+AFs-850+AF0-,0.015729665756226
+AFs-754+AF0-,0
+AFs-889+AF0-,0.015537261962891
+AFs-808+AF0-,0
+AFs-904+AF0-,0.015626192092896
+AFs-799+AF0-,0
+AFs-849+AF0-,0.015626192092896
+AFs-845+AF0-,0
+AFs-1012+AF0-,0.015631198883057
+AFs-1473+AF0-,0
+AFs-1044+AF0-,0.015656471252441
+AFs-1011+AF0-,0.006568193435669
+AFs-931+AF0-,0
+AFs-795+AF0-,0
+AFs-827+AF0-,0.015637874603272
+AFs-774+AF0-,0
+AFs-818+AF0-,0.015655517578125
+AFs-819+AF0-,0
+AFs-803+AF0-,0.015609979629517
+AFs-1075+AF0-,0
+AFs-735+AF0-,0
+AFs-761+AF0-,0.015632629394531
+AFs-796+AF0-,0
+AFs-150+AF0-,0.100432872772217
+AFs-987+AF0-,0.015629529953003
+AFs-351+AF0-,0.037863969802857
+AFs-983+AF0-,0.015580654144287
+AFs-890+AF0-,0
+AFs-900+AF0-,0.015625953674316
+AFs-906+AF0-,0
+AFs-907+AF0-,0
+AFs-908+AF0-,0.01567816734314
+AFs-909+AF0-,0.037715435028076
+AFs-1560+AF0-,0.016834735870361
+AFs-991+AF0-,0.005119562149048
+AFs-23499+AF0-,0.005258560180664
+AFs-825+AF0-,0.010257005691528
+AFs-853+AF0-,0.005009174346924
+AFs-778+AF0-,0
+AFs-1463+AF0-,0.015681982040405
+AFs-725+AF0-,0
+AFs-833+AF0-,0.015629053115845
+AFs-997+AF0-,0
+AFs-1121+AF0-,0.015577077865601
+AFs-463+AF0-,0.010611295700073
+AFs-745+AF0-,0
+AFs-1553+AF0-,0.015681743621826
+AFs-1554+AF0-,0
+AFs-1552+AF0-,0.015648126602173
+AFs-1549+AF0-,0
+AFs-1551+AF0-,0.015556335449219
+AFs-1555+AF0-,0
+AFs-1547+AF0-    ,3.893461
+AFs-756+AF0-,0.015625238418579
+AFs-951+AF0-,0
+AFs-947+AF0-,0.015667200088501
+AFs-950+AF0-,0
+AFs-949+AF0-,0
+AFs-1061+AF0-,0.015623092651367
+AFs-1059+AF0-,0.00654673576355
+AFs-748+AF0-,0
+AFs-724+AF0-,0.015689373016358
+AFs-728+AF0-,0
+AFs-921+AF0-,0
+AFs-771+AF0-,0.015573501586914
+AFs-450+AF0-,0
+AFs-1025+AF0-,0.01566219329834
+AFs-1014+AF0-,0
+AFs-461+AF0- ,0
+AFs-875+AF0-,0
+AFs-444+AF0-,0.015586853027344
+AFs-448+AF0-,0
+AFs-970+AF0-,0.015668392181397
 +AFs-764+AF0- ,0.015617
 +AFs-765+AF0- ,0.015626
+AFs-767+AF0-,0
+AFs-734+AF0-,0.015631198883057
+AFs-1556+AF0-,0.006561279296875
+AFs-720+AF0-,0
+AFs-337+AF0-,0.015684366226196
+AFs-336+AF0-,0.015676498413086
+AFs-160+AF0-,0.100347280502319
+AFs-159+AF0-,0.131597995758057
+AFs-158+AF0-,0.099899768829346
+AFs-157+AF0-,0.115477323532105
+AFs-156+AF0-,0.100241661071777
